size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
3840,0,72,0,2733207,4270,273
3840,0,72,0,2736048,4275,273
3840,0,73,0,2729065,4264,272
3840,0,73,0,2718407,4247,271
3840,0,72,0,2726676,4260,272
3840,0,71,0,2744444,4288,274
3840,0,72,0,2725199,4258,272
3840,0,73,0,2724144,4256,272
3840,0,73,0,2723020,4254,272
3840,0,72,0,2723592,4255,272
3840,0,72,0,2720098,4250,272
3840,0,72,0,2720935,4251,272
3840,0,73,0,2723151,4254,272
3840,0,72,0,2732049,4268,273
3840,0,73,0,2723158,4254,272
3840,0,72,0,2726275,4259,272
3840,0,73,0,2718623,4247,271
3840,0,73,0,2722641,4254,272
3840,0,73,0,2731648,4268,273
3840,0,73,0,2724303,4256,272
3840,0,72,0,2732879,4270,273
3840,0,72,0,2737183,4276,273
3840,0,73,0,2718899,4248,271
3840,0,72,0,2733526,4271,273
3840,0,73,0,2724036,4256,272
3840,0,73,0,2724554,4257,272
3840,0,73,0,2724124,4256,272
3840,0,72,0,2725148,4258,272
3840,0,72,0,2723724,4255,272
3840,0,72,0,2728746,4263,272
3840,0,74,0,2724116,4256,272
3840,0,72,0,2732092,4268,273
3840,0,72,0,2726024,4259,272
3840,0,73,0,2725372,4258,272
3840,0,71,0,2737500,4277,273
3840,0,73,0,2724541,4257,272
3840,0,72,0,2725511,4258,272
3840,0,73,0,2720821,4251,272
3840,0,73,0,2722872,4254,272
3840,0,72,0,2729777,4265,272
3840,0,73,0,2726095,4259,272
3840,0,73,0,2722058,4253,272
3840,0,73,0,2724118,4256,272
3840,0,72,0,2725930,4259,272
3840,0,72,0,2723041,4254,272
3840,0,72,0,2726297,4259,272
3840,0,71,0,2738190,4278,273
3840,0,72,0,2726265,4259,272
3840,0,73,0,2723128,4254,272
3840,0,72,0,2727351,4261,272
3840,0,72,0,2729162,4264,272
3840,0,72,0,2732523,4269,273
3840,0,71,0,2725719,4258,272
3840,0,73,0,2723763,4255,272
3840,0,72,0,2729469,4264,272
3840,0,73,0,2725907,4259,272
3840,0,72,0,2725793,4259,272
3840,0,73,0,2720165,4250,272
3840,0,72,0,2720679,4251,272
3840,0,73,0,2722773,4254,272
3840,0,72,0,2724313,4256,272
3840,0,72,0,2734471,4272,273
3840,0,72,0,2725231,4258,272
3840,0,73,0,2720906,4251,272
3840,0,72,0,2725453,4258,272
3840,0,72,0,2730594,4266,273
3840,0,73,0,2721028,4251,272
3840,0,72,0,2728794,4263,272
3840,0,73,0,2720427,4250,272
3840,0,72,0,2726221,4259,272
3840,0,73,0,2724050,4256,272
3840,0,72,0,2724528,4257,272
3840,0,72,0,2722965,4254,272
3840,0,71,0,2737035,4276,273
3840,0,73,0,2710637,4235,271
3840,0,73,0,2720447,4250,272
3840,0,73,0,2724883,4257,272
3840,0,73,0,2722493,4253,272
3840,0,73,0,2726507,4260,272
3840,0,72,0,2726733,4260,272
3840,0,73,0,2724036,4256,272
3840,0,72,0,2719639,4249,271
3840,0,72,0,2721076,4251,272
3840,0,72,0,2721382,4252,272
3840,0,73,0,2723031,4254,272
3840,0,73,0,2727519,4261,272
3840,0,73,0,2719557,4249,271
3840,0,73,0,2731282,4267,273
3840,0,72,0,2730459,4266,273
3840,0,72,0,2728309,4262,272
3840,0,72,0,2726015,4259,272
3840,0,71,0,2740742,4282,274
3840,0,72,0,2724802,4257,272
3840,0,72,0,2730422,4266,273
3840,0,73,0,2726128,4259,272
3840,0,73,0,2725016,4257,272
3840,0,73,0,2726994,4260,272
3840,0,73,0,2723335,4255,272
3840,0,73,0,2721308,4252,272
3840,0,72,0,2728179,4262,272
