size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
174080,6,8719,0,3192141,4987,319
174080,6,8826,0,3196855,4995,319
174080,6,8791,0,3195394,4992,319
174080,6,8900,0,3194812,4991,319
174080,6,8971,0,3192394,4988,319
174080,6,8780,0,3194006,4990,319
174080,6,8802,0,3195880,4993,319
174080,6,8828,0,3198325,4997,319
174080,6,8829,0,3195424,4992,319
174080,6,8845,0,3194858,4991,319
174080,6,9004,0,3193738,4990,319
174080,6,8812,0,3192934,4988,319
174080,6,8793,0,3196763,4994,319
174080,6,8788,0,3199396,4999,319
174080,6,8788,0,3195547,4993,319
174080,6,8862,0,3192689,4988,319
174080,6,8809,0,3194692,4991,319
174080,6,8816,0,3194855,4991,319
174080,6,8785,0,3190371,4984,319
174080,6,8793,0,3194939,4992,319
174080,6,8884,0,3194360,4991,319
174080,6,8816,0,3196218,4994,319
174080,6,8856,0,3199027,4998,319
174080,6,8820,0,3194074,4990,319
174080,6,8784,0,3193194,4989,319
174080,6,8786,0,3196006,4993,319
174080,6,8979,0,3196951,4995,319
174080,6,8791,0,3197968,4996,319
174080,6,8794,0,3195230,4992,319
174080,6,8815,0,3195527,4993,319
174080,6,8877,0,3193726,4990,319
174080,6,8781,0,3196083,4993,319
174080,6,8847,0,3194467,4991,319
174080,6,8833,0,3195667,4993,319
174080,6,8833,0,3195630,4993,319
174080,6,8803,0,3194126,4990,319
174080,6,8855,0,3194612,4991,319
174080,6,8866,0,3199236,4998,319
174080,6,8887,0,3196804,4995,319
174080,7,8818,0,3195487,4992,319
174080,6,8811,0,3197638,4996,319
174080,6,8834,0,3194180,4990,319
174080,6,8857,0,3196717,4994,319
174080,6,8833,0,3193608,4990,319
174080,6,8834,0,3193015,4989,319
174080,6,8868,0,3195001,4992,319
174080,6,8806,0,3192811,4988,319
174080,6,8794,0,3195241,4992,319
174080,6,8827,0,3196423,4994,319
174080,6,8791,0,3191219,4986,319
174080,6,8784,0,3197088,4995,319
174080,6,8789,0,3193502,4989,319
174080,6,8827,0,3192988,4989,319
174080,6,9037,0,3195937,4993,319
174080,6,9090,0,3195153,4992,319
174080,6,8915,0,3193781,4990,319
174080,6,8840,0,3198295,4997,319
174080,6,8850,0,3196130,4993,319
174080,6,8824,0,3192274,4987,319
174080,6,8974,0,3193030,4989,319
174080,6,8838,0,3193070,4989,319
174080,7,8837,0,3194900,4992,319
174080,6,8952,0,3195755,4993,319
174080,6,8818,0,3195589,4993,319
174080,6,8914,0,3193384,4989,319
174080,6,8861,0,3196187,4994,319
174080,6,8886,0,3194420,4991,319
174080,6,8920,0,3195910,4993,319
174080,6,9000,0,3194825,4991,319
174080,6,9041,0,3193691,4990,319
174080,8,8998,0,3193670,4990,319
174080,6,9049,0,3196216,4994,319
174080,6,8975,0,3191055,4986,319
174080,6,8962,0,3193854,4990,319
174080,6,8981,0,3197319,4995,319
174080,6,9025,0,3193481,4989,319
174080,6,9072,0,3198530,4997,319
174080,6,8989,0,3192936,4988,319
174080,6,9110,0,3192917,4988,319
174080,6,8958,0,3194148,4990,319
174080,6,8994,0,3194326,4991,319
174080,6,9016,0,3193674,4990,319
174080,6,9071,0,3193423,4989,319
174080,6,8987,0,3196293,4994,319
174080,6,8996,0,3192306,4987,319
174080,6,9030,0,3196493,4994,319
174080,6,9011,0,3195482,4992,319
174080,6,9004,0,3194114,4990,319
174080,6,8990,0,3195977,4993,319
174080,6,9041,0,3193207,4989,319
174080,6,9093,0,3193282,4989,319
174080,6,9006,0,3196987,4995,319
174080,6,9038,0,3195788,4993,319
174080,6,9044,0,3196433,4994,319
174080,6,9002,0,3196060,4993,319
174080,6,8992,0,3194262,4991,319
174080,6,8969,0,3191349,4986,319
174080,6,8993,0,3197762,4996,319
174080,6,9053,0,3200437,5000,320
174080,6,8973,0,3191538,4986,319
