size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
17408,0,866,0,320160,5002,32
17408,0,855,0,321057,5016,32
17408,0,875,0,318932,4983,31
17408,0,885,0,320193,5003,32
17408,0,872,0,320695,5010,32
17408,0,864,0,319453,4991,31
17408,0,856,0,319546,4992,31
17408,0,878,0,319845,4997,31
17408,0,867,0,319396,4990,31
17408,0,875,0,320084,5001,32
17408,0,873,0,319685,4995,31
17408,0,872,0,320549,5008,32
17408,0,875,0,319996,4999,31
17408,0,875,0,319838,4997,31
17408,0,874,0,319561,4993,31
17408,0,877,0,320592,5009,32
17408,0,879,0,319786,4996,31
17408,0,877,0,319323,4989,31
17408,0,872,0,320044,5000,32
17408,0,873,0,319504,4992,31
17408,0,876,0,319613,4993,31
17408,0,876,0,320186,5002,32
17408,0,872,0,319844,4997,31
17408,0,873,0,320202,5003,32
17408,0,873,0,319672,4994,31
17408,0,874,0,319397,4990,31
17408,0,876,0,320369,5005,32
17408,0,873,0,320048,5000,32
17408,0,873,0,319577,4993,31
17408,0,876,0,320134,5002,32
17408,0,869,0,319532,4992,31
17408,0,876,0,320783,5012,32
17408,0,873,0,319740,4995,31
17408,0,877,0,319765,4996,31
17408,0,872,0,320987,5015,32
17408,0,877,0,320481,5007,32
17408,0,871,0,320104,5001,32
17408,0,880,0,320748,5011,32
17408,0,869,0,319814,4997,31
17408,0,875,0,319404,4990,31
17408,0,877,0,320152,5002,32
17408,0,884,0,320388,5006,32
17408,1,903,0,320290,5004,32
17408,0,860,0,320318,5004,32
17408,0,854,0,319782,4996,31
17408,0,850,0,319915,4998,31
17408,0,854,0,320282,5004,32
17408,0,850,0,319180,4987,31
17408,0,850,0,320103,5001,32
17408,0,858,0,319499,4992,31
17408,0,850,0,319408,4990,31
17408,0,850,0,319555,4993,31
17408,0,852,0,319722,4995,31
17408,0,868,0,320310,5004,32
17408,0,854,0,319124,4986,31
17408,0,853,0,320476,5007,32
17408,0,852,0,319757,4996,31
17408,0,854,0,320817,5012,32
17408,0,849,0,320111,5001,32
17408,0,850,0,319740,4995,31
17408,0,856,0,321351,5021,32
17408,0,850,0,320023,5000,32
17408,0,858,0,320043,5000,32
17408,0,857,0,320506,5007,32
17408,0,855,0,320273,5004,32
17408,0,849,0,319998,4999,31
17408,0,851,0,319987,4999,31
17408,0,852,0,319848,4997,31
17408,0,851,0,319168,4987,31
17408,0,852,0,320639,5009,32
17408,0,855,0,320654,5010,32
17408,0,849,0,319871,4997,31
17408,0,850,0,320365,5005,32
17408,0,854,0,319561,4993,31
17408,0,853,0,319698,4995,31
17408,0,853,0,320471,5007,32
17408,0,850,0,318777,4980,31
17408,0,849,0,319877,4998,31
17408,0,854,0,320693,5010,32
17408,0,855,0,319621,4994,31
17408,0,855,0,319880,4998,31
17408,0,855,0,320174,5002,32
17408,0,854,0,319242,4988,31
17408,0,855,0,320662,5010,32
17408,0,862,0,319317,4989,31
17408,0,856,0,320340,5005,32
17408,0,852,0,320710,5011,32
17408,0,848,0,319885,4998,31
17408,0,846,0,319808,4997,31
17408,0,851,0,319936,4999,31
17408,0,844,0,320376,5005,32
17408,0,848,0,318343,4974,31
17408,0,848,0,319591,4993,31
17408,0,846,0,319017,4984,31
17408,0,849,0,319278,4988,31
17408,0,849,0,319617,4994,31
17408,0,837,0,319249,4988,31
17408,0,849,0,321001,5015,32
17408,0,853,0,319800,4996,31
17408,0,860,0,320327,5005,32
