size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
17408,0,595,0,265694,4151,26
17408,0,597,0,258690,4042,25
17408,0,609,0,271375,4240,27
17408,0,611,0,274714,4292,27
17408,0,614,0,274853,4294,27
17408,0,621,0,279646,4369,27
17408,0,610,0,271567,4243,27
17408,0,619,0,278953,4358,27
17408,0,611,0,274716,4292,27
17408,0,616,0,274666,4291,27
17408,0,625,0,279447,4366,27
17408,0,609,0,271441,4241,27
17408,0,620,0,274485,4288,27
17408,0,612,0,271409,4240,27
17408,0,614,0,279952,4374,27
17408,0,610,0,271330,4239,27
17408,0,614,0,274849,4294,27
17408,0,615,0,274538,4289,27
17408,0,620,0,278839,4356,27
17408,0,609,0,271270,4238,27
17408,0,606,0,266074,4157,26
17408,0,613,0,279354,4364,27
17408,0,608,0,274730,4292,27
17408,0,610,0,274761,4293,27
17408,0,609,0,271404,4240,27
17408,0,612,0,279433,4366,27
17408,0,612,0,274811,4293,27
17408,0,610,0,266670,4166,26
17408,0,612,0,274931,4295,27
17408,0,612,0,279251,4363,27
17408,0,597,0,265678,4151,26
17408,0,608,0,274766,4293,27
17408,0,617,0,278611,4353,27
17408,0,618,0,279102,4360,27
17408,0,618,0,279571,4368,27
17408,0,614,0,274764,4293,27
17408,0,616,0,274785,4293,27
17408,0,608,0,274308,4286,27
17408,0,625,0,286580,4477,28
17408,0,610,0,271415,4240,27
17408,0,612,0,271091,4235,27
17408,0,607,0,274598,4290,27
17408,0,610,0,271311,4239,27
17408,0,615,0,271479,4241,27
17408,0,610,0,271491,4242,27
17408,0,621,0,279556,4368,27
17408,0,600,0,266232,4159,26
17408,0,616,0,274615,4290,27
17408,0,619,0,274699,4292,27
17408,0,613,0,275630,4306,27
17408,0,618,0,279263,4363,27
17408,0,630,0,271526,4242,27
17408,0,612,0,266216,4159,26
17408,0,619,0,274654,4291,27
17408,0,617,0,274689,4292,27
17408,0,619,0,274910,4295,27
17408,0,614,0,274460,4288,27
17408,0,611,0,265927,4155,26
17408,0,618,0,279255,4363,27
17408,0,616,0,274889,4295,27
17408,0,610,0,271306,4239,27
17408,0,614,0,271486,4241,27
17408,0,615,0,274538,4289,27
17408,0,611,0,271244,4238,27
17408,0,622,0,279961,4374,27
17408,0,624,0,279828,4372,27
17408,0,616,0,266068,4157,26
17408,0,620,0,279297,4364,27
17408,0,614,0,274681,4291,27
17408,0,613,0,271341,4239,27
17408,0,609,0,274771,4293,27
17408,0,609,0,271352,4239,27
17408,0,612,0,274604,4290,27
17408,0,604,0,266091,4157,26
17408,0,608,0,271348,4239,27
17408,0,615,0,274848,4294,27
17408,0,611,0,274683,4291,27
17408,0,606,0,271298,4239,27
17408,0,608,0,274503,4289,27
17408,0,613,0,271467,4241,27
17408,0,617,0,274843,4294,27
17408,0,613,0,274769,4293,27
17408,0,610,0,274639,4291,27
17408,0,597,0,271517,4242,27
17408,0,630,0,279628,4369,27
17408,0,628,0,271562,4243,27
17408,0,617,0,274872,4294,27
17408,0,620,0,274862,4294,27
17408,0,615,0,274660,4291,27
17408,0,617,0,279030,4359,27
17408,0,613,0,274832,4294,27
17408,0,615,0,271383,4240,27
17408,0,613,0,271274,4238,27
17408,0,620,0,279178,4362,27
17408,0,615,0,271477,4241,27
17408,0,617,0,279911,4373,27
17408,0,601,0,265983,4155,26
17408,0,615,0,274910,4295,27
17408,0,625,0,274620,4290,27
17408,0,613,0,274820,4294,27
