size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
174080,5,3155,0,304,0,0
174080,5,3287,0,317,0,0
174080,5,3319,0,314,0,0
174080,5,3297,0,318,0,0
174080,5,3332,0,318,0,0
174080,5,3316,0,298,0,0
174080,5,3296,0,316,0,0
174080,5,3304,0,336,0,0
174080,5,3294,0,315,0,0
174080,5,3304,0,328,0,0
174080,5,3305,0,300,0,0
174080,5,3294,0,313,0,0
174080,5,3283,0,305,0,0
174080,5,3299,0,318,0,0
174080,5,3288,0,306,0,0
174080,5,3311,0,329,0,0
174080,5,3304,0,334,0,0
174080,5,3309,0,336,0,0
174080,5,3317,0,315,0,0
174080,5,3277,0,319,0,0
174080,5,3296,0,324,0,0
174080,5,3288,0,319,0,0
174080,5,3295,0,327,0,0
174080,5,3285,0,320,0,0
174080,5,3291,0,321,0,0
174080,5,3295,0,302,0,0
174080,5,3293,0,316,0,0
174080,5,3312,0,326,0,0
174080,5,3294,0,335,0,0
174080,5,3303,0,349,0,0
174080,5,3282,0,314,0,0
174080,5,3299,0,307,0,0
174080,4,3287,0,318,0,0
174080,5,3291,0,341,0,0
174080,5,3291,0,310,0,0
174080,5,3295,0,339,0,0
174080,5,3288,0,322,0,0
174080,5,3286,0,332,0,0
174080,5,3295,0,320,0,0
174080,5,3284,0,324,0,0
174080,5,3301,0,347,0,0
174080,5,3281,0,318,0,0
174080,5,3299,0,315,0,0
174080,5,3295,0,338,0,0
174080,5,3288,0,311,0,0
174080,5,3286,0,319,0,0
174080,5,3280,0,323,0,0
174080,5,3291,0,305,0,0
174080,5,3278,0,313,0,0
174080,5,3291,0,316,0,0
174080,5,3288,0,304,0,0
174080,5,3281,0,333,0,0
174080,5,3305,0,309,0,0
174080,5,3300,0,290,0,0
174080,5,3292,0,298,0,0
174080,5,3289,0,325,0,0
174080,5,3305,0,333,0,0
174080,5,3281,0,311,0,0
174080,5,3294,0,323,0,0
174080,5,3271,0,288,0,0
174080,5,3305,0,303,0,0
174080,5,3304,0,323,0,0
174080,4,3304,0,309,0,0
174080,5,3374,0,305,0,0
174080,5,3331,0,317,0,0
174080,5,3315,0,335,0,0
174080,5,3283,0,302,0,0
174080,5,3291,0,327,0,0
174080,5,3364,0,321,0,0
174080,5,3303,0,329,0,0
174080,5,3292,0,331,0,0
174080,5,3283,0,306,0,0
174080,5,3323,0,331,0,0
174080,5,3317,0,326,0,0
174080,5,3293,0,319,0,0
174080,5,3273,0,321,0,0
174080,5,3283,0,320,0,0
174080,5,3277,0,311,0,0
174080,5,3279,0,331,0,0
174080,5,3304,0,301,0,0
174080,5,3282,0,326,0,0
174080,5,3281,0,288,0,0
174080,5,3276,0,316,0,0
174080,5,3280,0,316,0,0
174080,5,3280,0,309,0,0
174080,5,3285,0,311,0,0
174080,5,3290,0,326,0,0
174080,8,3331,0,308,0,0
174080,5,3291,0,325,0,0
174080,5,3287,0,312,0,0
174080,5,3292,0,323,0,0
174080,5,3272,0,311,0,0
174080,5,3289,0,332,0,0
174080,5,3290,0,309,0,0
174080,5,3366,0,335,0,0
174080,5,3324,0,337,0,0
174080,5,3288,0,304,0,0
174080,5,3286,0,319,0,0
174080,5,3268,0,317,0,0
174080,5,3279,0,323,0,0
