size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
174080,4,6061,0,2644553,4132,264
174080,5,6282,0,2644553,4132,264
174080,5,6290,0,2644553,4132,264
174080,5,6263,0,2644553,4132,264
174080,4,6264,0,2644553,4132,264
174080,5,6261,0,2644553,4132,264
174080,4,6256,0,2644553,4132,264
174080,4,6268,0,2644553,4132,264
174080,5,6299,0,2644553,4132,264
174080,4,6290,0,2644553,4132,264
174080,5,6295,0,2644553,4132,264
174080,4,6255,0,2644553,4132,264
174080,4,6248,0,2644553,4132,264
174080,5,6238,0,2644553,4132,264
174080,5,6263,0,2644553,4132,264
174080,4,6252,0,2644553,4132,264
174080,4,6277,0,2644553,4132,264
174080,4,6294,0,2644553,4132,264
174080,5,6274,0,2644553,4132,264
174080,5,6274,0,2644553,4132,264
174080,4,6263,0,2644553,4132,264
174080,5,6270,0,2644553,4132,264
174080,5,6269,0,2644553,4132,264
174080,5,6257,0,2644553,4132,264
174080,4,6244,0,2644553,4132,264
174080,5,6242,0,2644553,4132,264
174080,4,6297,0,2644553,4132,264
174080,5,6262,0,2644553,4132,264
174080,4,6279,0,2644553,4132,264
174080,5,6274,0,2644553,4132,264
174080,5,6292,0,2644553,4132,264
174080,4,6295,0,2644553,4132,264
174080,5,6290,0,2644553,4132,264
174080,5,6262,0,2644553,4132,264
174080,5,6268,0,2644553,4132,264
174080,5,6236,0,2644553,4132,264
174080,4,6278,0,2644553,4132,264
174080,5,6274,0,2644553,4132,264
174080,5,6236,0,2644553,4132,264
174080,5,6253,0,2644553,4132,264
174080,5,6247,0,2644553,4132,264
174080,4,6276,0,2644553,4132,264
174080,5,6269,0,2644553,4132,264
174080,5,6273,0,2644553,4132,264
174080,5,6288,0,2644553,4132,264
174080,5,6256,0,2644553,4132,264
174080,5,6280,0,2644553,4132,264
174080,5,6268,0,2644553,4132,264
174080,5,6297,0,2644553,4132,264
174080,4,6282,0,2644553,4132,264
174080,5,6254,0,2644553,4132,264
174080,5,6281,0,2644553,4132,264
174080,4,6275,0,2644553,4132,264
174080,5,6292,0,2644553,4132,264
174080,4,6279,0,2644553,4132,264
174080,4,6257,0,2644553,4132,264
174080,5,6268,0,2644553,4132,264
174080,4,6290,0,2644553,4132,264
174080,5,6279,0,2644553,4132,264
174080,4,6259,0,2644553,4132,264
174080,5,6447,0,2644553,4132,264
174080,5,6312,0,2644553,4132,264
174080,4,6277,0,2644553,4132,264
174080,4,6255,0,2644553,4132,264
174080,5,6248,0,2644553,4132,264
174080,5,6292,0,2644553,4132,264
174080,5,6261,0,2644553,4132,264
174080,5,6267,0,2644553,4132,264
174080,5,6261,0,2644553,4132,264
174080,5,6271,0,2644553,4132,264
174080,5,6233,0,2644553,4132,264
174080,5,6279,0,2644553,4132,264
174080,5,6265,0,2644553,4132,264
174080,4,6280,0,2644553,4132,264
174080,5,6294,0,2644553,4132,264
174080,4,6285,0,2644553,4132,264
174080,4,6248,0,2644553,4132,264
174080,5,6280,0,2644553,4132,264
174080,4,6275,0,2644553,4132,264
174080,5,6275,0,2644553,4132,264
174080,5,6316,0,2644553,4132,264
174080,5,6331,0,2644553,4132,264
174080,5,6429,0,2644553,4132,264
174080,5,6352,0,2644553,4132,264
174080,5,6275,0,2644553,4132,264
174080,4,6284,0,2644553,4132,264
174080,5,6294,0,2644553,4132,264
174080,4,6265,0,2644553,4132,264
174080,5,6268,0,2644553,4132,264
174080,5,6272,0,2644553,4132,264
174080,4,6265,0,2644553,4132,264
174080,5,6286,0,2644553,4132,264
174080,5,6275,0,2644553,4132,264
174080,4,6293,0,2644553,4132,264
174080,5,6285,0,2644553,4132,264
174080,5,6295,0,2644553,4132,264
174080,4,6285,0,2644553,4132,264
174080,5,6270,0,2644553,4132,264
174080,5,6250,0,2644553,4132,264
174080,5,6261,0,2644553,4132,264
