size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
384,0,7,0,274700,4292,27
384,0,7,0,274747,4292,27
384,0,7,0,271523,4242,27
384,0,7,0,274750,4292,27
384,0,7,0,274821,4294,27
384,0,7,0,274768,4293,27
384,0,7,0,274833,4294,27
384,0,7,0,279517,4367,27
384,0,7,0,274729,4292,27
384,0,7,0,274448,4288,27
384,0,7,0,274925,4295,27
384,0,7,0,274621,4290,27
384,0,7,0,274844,4294,27
384,0,7,0,271628,4244,27
384,0,7,0,274784,4293,27
384,0,7,0,274575,4290,27
384,0,7,0,274911,4295,27
384,0,7,0,274819,4294,27
384,0,7,0,279382,4365,27
384,0,7,0,271350,4239,27
384,0,7,0,271313,4239,27
384,0,7,0,271497,4242,27
384,0,7,0,279195,4362,27
384,0,7,0,271529,4242,27
384,0,7,0,274806,4293,27
384,0,7,0,274886,4295,27
384,0,7,0,274870,4294,27
384,0,7,0,271440,4241,27
384,0,7,0,274630,4291,27
384,0,7,0,279682,4370,27
384,0,7,0,274402,4287,27
384,0,7,0,274588,4290,27
384,0,7,0,274469,4288,27
384,0,7,0,271534,4242,27
384,0,7,0,271622,4244,27
384,0,7,0,271459,4241,27
384,0,7,0,279652,4369,27
384,0,7,0,279237,4363,27
384,0,7,0,279104,4361,27
384,0,7,0,271448,4241,27
384,0,7,0,271344,4239,27
384,0,7,0,271510,4242,27
384,0,7,0,271572,4243,27
384,0,7,0,265960,4155,26
384,0,7,0,274723,4292,27
384,0,7,0,271490,4242,27
384,0,7,0,274835,4294,27
384,0,7,0,266040,4156,26
384,0,7,0,271553,4243,27
384,0,7,0,274160,4283,27
384,0,7,0,271469,4241,27
384,0,7,0,274780,4293,27
384,0,7,0,274895,4295,27
384,0,7,0,274858,4294,27
384,0,7,0,274774,4293,27
384,0,7,0,279567,4368,27
384,0,7,0,274853,4294,27
384,0,7,0,274723,4292,27
384,0,7,0,274684,4291,27
384,0,7,0,279621,4369,27
384,0,7,0,274865,4294,27
384,0,7,0,271517,4242,27
384,0,7,0,279151,4361,27
384,0,7,0,274754,4293,27
384,0,7,0,274222,4284,27
384,0,7,0,271461,4241,27
384,0,7,0,271387,4240,27
384,0,7,0,274628,4291,27
384,0,7,0,274772,4293,27
384,0,7,0,274825,4294,27
384,0,7,0,274540,4289,27
384,0,7,0,274382,4287,27
384,0,7,0,279313,4364,27
384,0,7,0,274193,4284,27
384,0,7,0,271538,4242,27
384,0,7,0,271595,4243,27
384,0,7,0,271431,4241,27
384,0,7,0,271585,4243,27
384,0,7,0,274726,4292,27
384,0,7,0,274752,4293,27
384,0,7,0,279228,4362,27
384,0,7,0,274869,4294,27
384,0,7,0,274949,4296,27
384,0,7,0,266558,4164,26
384,0,7,0,277909,4342,27
384,0,7,0,271543,4242,27
384,0,7,0,274804,4293,27
384,0,7,0,274840,4294,27
384,0,7,0,271587,4243,27
384,0,8,0,278749,4355,27
384,0,8,0,279171,4362,27
384,0,8,0,274920,4295,27
384,0,8,0,271562,4243,27
384,0,7,0,274938,4295,27
384,0,7,0,274434,4288,27
384,0,7,0,274799,4293,27
384,0,7,0,274768,4293,27
384,0,7,0,274726,4292,27
384,0,7,0,274858,4294,27
384,0,7,0,274862,4294,27
