size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
17408,0,838,0,323221,5050,32
17408,0,833,0,319066,4985,31
17408,0,838,0,320079,5001,32
17408,0,839,0,319732,4995,31
17408,0,861,0,319994,4999,31
17408,0,844,0,322883,5045,32
17408,0,840,0,320081,5001,32
17408,0,841,0,321186,5018,32
17408,0,836,0,318019,4969,31
17408,0,841,0,320332,5005,32
17408,0,838,0,321554,5024,32
17408,0,838,0,321429,5022,32
17408,0,835,0,320533,5008,32
17408,0,838,0,322127,5033,32
17408,0,835,0,318262,4972,31
17408,0,835,0,318821,4981,31
17408,0,829,0,319234,4988,31
17408,0,834,0,319709,4995,31
17408,0,837,0,319553,4993,31
17408,0,833,0,318408,4975,31
17408,0,838,0,320033,5000,32
17408,0,831,0,319909,4998,31
17408,0,842,0,321267,5019,32
17408,0,837,0,322123,5033,32
17408,0,839,0,321011,5015,32
17408,0,837,0,319761,4996,31
17408,0,838,0,320861,5013,32
17408,0,842,0,320356,5005,32
17408,0,843,0,321811,5028,32
17408,0,835,0,320953,5014,32
17408,0,840,0,320730,5011,32
17408,0,838,0,320202,5003,32
17408,0,836,0,318619,4978,31
17408,0,840,0,320943,5014,32
17408,0,835,0,320291,5004,32
17408,0,841,0,322199,5034,32
17408,0,838,0,319956,4999,31
17408,0,839,0,320255,5003,32
17408,0,838,0,321042,5016,32
17408,0,835,0,317802,4965,31
17408,0,840,0,320023,5000,32
17408,0,836,0,318862,4982,31
17408,0,840,0,320554,5008,32
17408,0,831,0,319957,4999,31
17408,0,843,0,320759,5011,32
17408,0,837,0,319416,4990,31
17408,0,856,0,319576,4993,31
17408,0,867,0,322424,5037,32
17408,0,861,0,320066,5001,32
17408,0,855,0,317102,4954,31
17408,0,855,0,320882,5013,32
17408,0,854,0,318079,4969,31
17408,0,851,0,319167,4986,31
17408,0,855,0,321339,5020,32
17408,0,859,0,320332,5005,32
17408,0,856,0,321990,5031,32
17408,0,853,0,318770,4980,31
17408,0,855,0,318349,4974,31
17408,0,857,0,322111,5032,32
17408,0,857,0,321539,5024,32
17408,0,856,0,320764,5011,32
17408,0,855,0,319872,4998,31
17408,0,859,0,323539,5055,32
17408,0,853,0,320140,5002,32
17408,0,855,0,320456,5007,32
17408,0,855,0,320502,5007,32
17408,0,856,0,319825,4997,31
17408,0,851,0,322549,5039,32
17408,0,850,0,321581,5024,32
17408,0,855,0,320322,5005,32
17408,0,857,0,320955,5014,32
17408,0,857,0,321449,5022,32
17408,0,851,0,318846,4981,31
17408,0,850,0,318265,4972,31
17408,0,851,0,319812,4997,31
17408,0,857,0,321141,5017,32
17408,0,858,0,322651,5041,32
17408,0,850,0,316560,4946,31
17408,0,849,0,317841,4966,31
17408,0,848,0,318757,4980,31
17408,0,857,0,320399,5006,32
17408,0,848,0,320687,5010,32
17408,0,857,0,319754,4996,31
17408,0,858,0,321342,5020,32
17408,0,856,0,319875,4998,31
17408,0,854,0,319464,4991,31
17408,0,852,0,319842,4997,31
17408,0,860,0,321820,5028,32
17408,0,863,0,323704,5057,32
17408,0,851,0,320519,5008,32
17408,0,858,0,322165,5033,32
17408,0,848,0,321952,5030,32
17408,0,847,0,320214,5003,32
17408,0,850,0,319402,4990,31
17408,0,851,0,318275,4973,31
17408,0,854,0,318647,4978,31
17408,0,854,0,319994,4999,31
17408,0,855,0,319530,4992,31
17408,0,856,0,322469,5038,32
17408,0,852,0,319678,4994,31
