size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
174080,6,12499,1,6330497,9891,633
174080,6,12656,1,6330497,9891,633
174080,6,12782,1,6330497,9891,633
174080,6,12785,1,6330497,9891,633
174080,6,12762,1,6330497,9891,633
174080,6,13189,1,6330497,9891,633
174080,6,12860,1,6330497,9891,633
174080,6,12726,1,6330497,9891,633
174080,6,12635,1,6330497,9891,633
174080,6,12647,1,6330497,9891,633
174080,6,13177,1,6330497,9891,633
174080,6,12804,1,6330497,9891,633
174080,6,12756,1,6330497,9891,633
174080,6,12773,1,6330497,9891,633
174080,6,12737,1,6330497,9891,633
174080,6,12721,1,6330497,9891,633
174080,6,12772,1,6330497,9891,633
174080,6,12804,1,6330497,9891,633
174080,6,12773,1,6330497,9891,633
174080,6,12791,1,6330497,9891,633
174080,6,12762,1,6330497,9891,633
174080,6,12731,1,6330497,9891,633
174080,6,12705,1,6330497,9891,633
174080,6,12738,1,6330497,9891,633
174080,6,12779,1,6330497,9891,633
174080,6,12729,1,6330497,9891,633
174080,6,12669,1,6330497,9891,633
174080,6,12536,1,6330497,9891,633
174080,6,12532,1,6330497,9891,633
174080,6,12527,1,6330497,9891,633
174080,6,12541,1,6330497,9891,633
174080,6,12582,1,6330497,9891,633
174080,6,12537,1,6330497,9891,633
174080,6,12521,1,6330497,9891,633
174080,6,12516,1,6330497,9891,633
174080,6,12552,1,6330497,9891,633
174080,6,12514,1,6330497,9891,633
174080,6,12518,1,6330497,9891,633
174080,6,12533,1,6330497,9891,633
174080,6,12553,1,6330497,9891,633
174080,6,12595,1,6330497,9891,633
174080,6,12533,1,6330497,9891,633
174080,6,12510,1,6330497,9891,633
174080,6,12515,1,6330497,9891,633
174080,6,12559,1,6330497,9891,633
174080,6,12480,1,6330497,9891,633
174080,6,12487,1,6330497,9891,633
174080,6,12524,1,6330497,9891,633
174080,6,12553,1,6330497,9891,633
174080,6,12483,1,6330497,9891,633
174080,6,12633,1,6330497,9891,633
174080,6,12806,1,6330497,9891,633
174080,6,12669,1,6330497,9891,633
174080,6,12431,1,6330497,9891,633
174080,6,12430,1,6330497,9891,633
174080,6,12514,1,6330497,9891,633
174080,6,12495,1,6330497,9891,633
174080,6,12446,1,6330497,9891,633
174080,6,12465,1,6330497,9891,633
174080,6,12476,1,6330497,9891,633
174080,6,12460,1,6330497,9891,633
174080,6,12464,1,6330497,9891,633
174080,6,12463,1,6330497,9891,633
174080,6,12495,1,6330497,9891,633
174080,6,12435,1,6330497,9891,633
174080,6,12438,1,6330497,9891,633
174080,6,12555,1,6330497,9891,633
174080,6,12593,1,6330497,9891,633
174080,6,12588,1,6330497,9891,633
174080,6,12588,1,6330497,9891,633
174080,6,12588,1,6330497,9891,633
174080,6,12608,1,6330497,9891,633
174080,6,12532,1,6330497,9891,633
174080,6,12615,1,6330497,9891,633
174080,6,12649,1,6330497,9891,633
174080,6,12609,1,6330497,9891,633
174080,6,12628,1,6330497,9891,633
174080,6,12620,1,6330497,9891,633
174080,6,12660,1,6330497,9891,633
174080,6,12578,1,6330497,9891,633
174080,6,12562,1,6330497,9891,633
174080,6,12651,1,6330497,9891,633
174080,6,12686,1,6330497,9891,633
174080,6,12679,1,6330497,9891,633
174080,6,12603,1,6330497,9891,633
174080,6,12661,1,6330497,9891,633
174080,6,12639,1,6330497,9891,633
174080,6,12848,1,6330497,9891,633
174080,6,12615,1,6330497,9891,633
174080,6,12574,1,6330497,9891,633
174080,6,12647,1,6330497,9891,633
174080,6,12668,1,6330497,9891,633
174080,6,12565,1,6330497,9891,633
174080,6,12564,1,6330497,9891,633
174080,7,12674,1,6330497,9891,633
174080,6,12767,1,6330497,9891,633
174080,7,12733,1,6330497,9891,633
174080,6,12668,1,6330497,9891,633
174080,6,12599,1,6330497,9891,633
174080,6,12688,1,6330497,9891,633
