size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
17408,0,414,0,1041,16,0
17408,0,413,0,1026,16,0
17408,0,413,0,1041,16,0
17408,0,416,0,1004,15,0
17408,0,416,0,999,15,0
17408,0,408,0,969,15,0
17408,0,414,0,1020,15,0
17408,0,410,0,1058,16,0
17408,0,411,0,1047,16,0
17408,0,412,0,1024,16,0
17408,0,409,0,1032,16,0
17408,0,415,0,1027,16,0
17408,0,409,0,1046,16,0
17408,0,411,0,1041,16,0
17408,0,411,0,1044,16,0
17408,0,415,0,1028,16,0
17408,0,414,0,1032,16,0
17408,0,414,0,1083,16,0
17408,0,413,0,1029,16,0
17408,0,411,0,1020,15,0
17408,0,415,0,973,15,0
17408,0,417,0,1022,15,0
17408,0,423,0,1065,16,0
17408,0,417,0,1076,16,0
17408,0,419,0,1020,15,0
17408,0,416,0,1080,16,0
17408,0,414,0,1017,15,0
17408,0,413,0,1037,16,0
17408,0,417,0,1090,17,0
17408,0,406,0,1069,16,0
17408,0,433,0,1052,16,0
17408,0,408,0,1055,16,0
17408,0,412,0,1015,15,0
17408,0,410,0,999,15,0
17408,0,413,0,1046,16,0
17408,0,414,0,1060,16,0
17408,0,414,0,1011,15,0
17408,0,417,0,1039,16,0
17408,0,413,0,1063,16,0
17408,0,411,0,1027,16,0
17408,0,412,0,1057,16,0
17408,0,401,0,997,15,0
17408,0,399,0,990,15,0
17408,0,414,0,1045,16,0
17408,0,400,0,1034,16,0
17408,0,403,0,883,13,0
17408,0,410,0,1013,15,0
17408,0,414,0,1015,15,0
17408,0,412,0,1080,16,0
17408,0,415,0,954,14,0
17408,0,412,0,1003,15,0
17408,0,412,0,1045,16,0
17408,0,411,0,1094,17,0
17408,0,410,0,976,15,0
17408,0,407,0,1049,16,0
17408,0,414,0,1049,16,0
17408,0,412,0,1011,15,0
17408,0,415,0,996,15,0
17408,0,413,0,1057,16,0
17408,0,411,0,1066,16,0
17408,0,416,0,941,14,0
17408,0,410,0,991,15,0
17408,0,416,0,1057,16,0
17408,0,412,0,991,15,0
17408,0,413,0,1064,16,0
17408,0,415,0,1068,16,0
17408,0,414,0,1081,16,0
17408,0,411,0,854,13,0
17408,0,412,0,1019,15,0
17408,0,415,0,1047,16,0
17408,0,413,0,972,15,0
17408,0,414,0,952,14,0
17408,0,415,0,1047,16,0
17408,0,415,0,1031,16,0
17408,0,413,0,1042,16,0
17408,0,414,0,997,15,0
17408,0,413,0,1017,15,0
17408,0,416,0,1081,16,0
17408,0,413,0,1013,15,0
17408,0,416,0,982,15,0
17408,0,413,0,1029,16,0
17408,0,416,0,958,14,0
17408,0,415,0,1078,16,0
17408,0,414,0,942,14,0
17408,0,415,0,978,15,0
17408,0,412,0,1098,17,0
17408,0,418,0,1073,16,0
17408,0,413,0,1022,15,0
17408,0,413,0,1043,16,0
17408,0,415,0,1043,16,0
17408,0,410,0,1018,15,0
17408,0,409,0,1045,16,0
17408,0,410,0,999,15,0
17408,0,412,0,1033,16,0
17408,0,409,0,1023,15,0
17408,0,418,0,1008,15,0
17408,0,416,0,1058,16,0
17408,0,413,0,1016,15,0
17408,0,413,0,1045,16,0
17408,0,415,0,1061,16,0
