size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
174080,6,4363,0,680,1,0
174080,6,4540,0,857,1,0
174080,6,4437,0,772,1,0
174080,6,4437,0,697,1,0
174080,6,4380,0,715,1,0
174080,6,4385,0,746,1,0
174080,6,4403,0,658,1,0
174080,6,4388,0,815,1,0
174080,6,4391,0,640,1,0
174080,6,4383,0,766,1,0
174080,6,4398,0,689,1,0
174080,6,4386,0,671,1,0
174080,6,4438,0,662,1,0
174080,6,4400,0,788,1,0
174080,6,4392,0,1007,1,0
174080,6,4404,0,720,1,0
174080,6,4450,0,814,1,0
174080,6,4413,0,720,1,0
174080,6,4412,0,783,1,0
174080,6,4391,0,863,1,0
174080,6,4410,0,730,1,0
174080,6,4411,0,717,1,0
174080,6,4389,0,777,1,0
174080,7,4437,0,671,1,0
174080,6,4410,0,843,1,0
174080,6,4400,0,935,1,0
174080,6,4401,0,896,1,0
174080,6,4397,0,775,1,0
174080,6,4404,0,675,1,0
174080,6,4404,0,656,1,0
174080,6,4406,0,702,1,0
174080,6,4402,0,731,1,0
174080,6,4423,0,1005,1,0
174080,6,4427,0,748,1,0
174080,6,4404,0,814,1,0
174080,7,4407,0,782,1,0
174080,6,4414,0,692,1,0
174080,6,4407,0,872,1,0
174080,6,4416,0,727,1,0
174080,6,4395,0,898,1,0
174080,6,4381,0,569,0,0
174080,6,4384,0,781,1,0
174080,6,4391,0,665,1,0
174080,6,4403,0,770,1,0
174080,6,4395,0,775,1,0
174080,6,4385,0,580,0,0
174080,6,4424,0,635,0,0
174080,6,4417,0,854,1,0
174080,6,4391,0,747,1,0
174080,6,4395,0,659,1,0
174080,6,4384,0,916,1,0
174080,6,4415,0,677,1,0
174080,6,4384,0,666,1,0
174080,6,4396,0,731,1,0
174080,6,4402,0,740,1,0
174080,6,4431,0,685,1,0
174080,6,4395,0,682,1,0
174080,6,4442,0,780,1,0
174080,6,4487,0,1051,1,0
174080,6,4624,0,759,1,0
174080,6,4536,0,699,1,0
174080,6,4816,0,639,0,0
174080,6,4867,0,634,0,0
174080,6,4833,0,749,1,0
174080,6,4796,0,599,0,0
174080,6,4954,0,735,1,0
174080,6,4852,0,753,1,0
174080,6,4884,0,795,1,0
174080,6,4680,0,711,1,0
174080,6,4753,0,620,0,0
174080,6,4381,0,900,1,0
174080,6,4485,0,846,1,0
174080,6,4665,0,752,1,0
174080,6,4817,0,686,1,0
174080,6,4989,0,731,1,0
174080,6,4990,0,788,1,0
174080,6,4849,0,794,1,0
174080,7,4786,0,721,1,0
174080,6,5293,0,750,1,0
174080,7,5149,0,649,1,0
174080,6,4805,0,778,1,0
174080,6,4459,0,620,0,0
174080,6,4512,0,709,1,0
174080,6,4570,0,639,0,0
174080,6,4572,0,847,1,0
174080,6,4446,0,718,1,0
174080,6,4398,0,783,1,0
174080,6,4430,0,656,1,0
174080,6,4408,0,618,0,0
174080,6,4414,0,772,1,0
174080,6,4423,0,780,1,0
174080,6,4458,0,636,0,0
174080,6,4434,0,699,1,0
174080,6,4430,0,683,1,0
174080,6,4432,0,719,1,0
174080,6,4441,0,954,1,0
174080,6,4410,0,731,1,0
174080,6,4434,0,611,0,0
174080,6,4437,0,657,1,0
174080,6,4398,0,902,1,0
