size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
384,0,5,0,619818,9684,61
384,0,6,0,559812,8747,55
384,0,6,0,579792,9059,57
384,0,6,0,579936,9061,57
384,0,6,0,479910,7498,47
384,0,5,0,599716,9370,59
384,0,5,0,619836,9684,61
384,0,6,0,539880,8435,53
384,0,6,0,539938,8436,53
384,0,6,0,539858,8435,53
384,0,5,0,599786,9371,59
384,0,5,0,639792,9996,63
384,0,5,0,619886,9685,61
384,0,6,0,599894,9373,59
384,0,5,0,599778,9371,59
384,0,5,0,559948,8749,55
384,0,5,0,579934,9061,57
384,0,5,0,599890,9373,59
384,0,5,0,559908,8748,55
384,0,5,0,619802,9684,61
384,0,5,0,619712,9683,61
384,0,5,0,599794,9371,59
384,0,5,0,559920,8748,55
384,0,6,0,479960,7499,47
384,0,5,0,579906,9061,57
384,0,6,0,599920,9373,59
384,0,5,0,579814,9059,57
384,0,6,0,559908,8748,55
384,0,5,0,539876,8435,53
384,0,6,0,419972,6562,41
384,0,5,0,639786,9996,63
384,0,6,0,639676,9994,63
384,0,5,0,479966,7499,47
384,0,5,0,619714,9683,61
384,0,6,0,579856,9060,57
384,0,5,0,559896,8748,55
384,0,5,0,639804,9996,63
384,0,5,0,619784,9684,61
384,0,5,0,599898,9373,59
384,0,6,0,519926,8123,51
384,0,5,0,579936,9061,57
384,0,5,0,479956,7499,47
384,0,5,0,639784,9996,63
384,0,6,0,579946,9061,57
384,0,5,0,559798,8746,55
384,0,5,0,539964,8436,53
384,0,5,0,559884,8748,55
384,0,5,0,639832,9997,63
384,0,5,0,579896,9060,57
384,0,6,0,599762,9371,59
384,0,5,0,599752,9371,59
384,0,6,0,519956,8124,51
384,0,5,0,599812,9372,59
384,0,5,0,499936,7811,49
384,0,5,0,579918,9061,57
384,0,6,0,459972,7187,45
384,0,5,0,499936,7811,49
384,0,5,0,639754,9996,63
384,0,6,0,539776,8434,53
384,0,5,0,639692,9995,63
384,0,5,0,619818,9684,61
384,0,5,0,559874,8748,55
384,0,5,0,579816,9059,57
384,0,6,0,499968,7812,49
384,0,5,0,599892,9373,59
384,0,5,0,639658,9994,63
384,0,6,0,519894,8123,51
384,0,5,0,559918,8748,55
384,0,5,0,539892,8435,53
384,0,5,0,619850,9685,61
384,0,5,0,619864,9685,61
384,0,5,0,639752,9996,63
384,0,5,0,619856,9685,61
384,0,6,0,459924,7186,45
384,0,6,0,499938,7811,49
384,0,5,0,579920,9061,57
384,0,5,0,639902,9998,63
384,0,5,0,579932,9061,57
384,0,5,0,599890,9373,59
384,0,5,0,559942,8749,55
384,0,6,0,579790,9059,57
384,0,5,0,559888,8748,55
384,0,6,0,559900,8748,55
384,0,5,0,579814,9059,57
384,0,6,0,479904,7498,47
384,0,5,0,619856,9685,61
384,0,5,0,619634,9681,61
384,0,5,0,639558,9993,63
384,0,5,0,639728,9995,63
384,0,6,0,579890,9060,57
384,0,6,0,519942,8124,51
384,0,5,0,599850,9372,59
384,0,5,0,519956,8124,51
384,0,5,0,619856,9685,61
384,0,5,0,479960,7499,47
384,0,5,0,579830,9059,57
384,0,5,0,619738,9683,61
384,0,5,0,579948,9061,57
384,0,6,0,579914,9061,57
384,0,5,0,499974,7812,49
