size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
3840,0,78,0,2729161,4264,272
3840,0,81,0,2724934,4257,272
3840,0,77,0,2733252,4270,273
3840,0,77,0,2723179,4254,272
3840,0,77,0,2729009,4264,272
3840,0,77,0,2717342,4245,271
3840,0,76,0,2727504,4261,272
3840,0,77,0,2735270,4273,273
3840,0,78,0,2721294,4252,272
3840,0,78,0,2724367,4256,272
3840,0,77,0,2728305,4262,272
3840,0,77,0,2728492,4263,272
3840,0,78,0,2723324,4255,272
3840,0,78,0,2723100,4254,272
3840,0,77,0,2727841,4262,272
3840,0,77,0,2721589,4252,272
3840,0,77,0,2727346,4261,272
3840,0,77,0,2731366,4267,273
3840,0,75,0,2741116,4282,274
3840,0,75,0,2728170,4262,272
3840,0,77,0,2724520,4257,272
3840,0,77,0,2725625,4258,272
3840,0,77,0,2726475,4260,272
3840,0,77,0,2730201,4265,273
3840,0,77,0,2722204,4253,272
3840,0,77,0,2717687,4246,271
3840,0,77,0,2721773,4252,272
3840,0,77,0,2725777,4259,272
3840,0,77,0,2729596,4264,272
3840,0,78,0,2724045,4256,272
3840,0,77,0,2728812,4263,272
3840,0,77,0,2726385,4259,272
3840,0,77,0,2724443,4256,272
3840,0,77,0,2728227,4262,272
3840,0,77,0,2725487,4258,272
3840,0,77,0,2725666,4258,272
3840,0,77,0,2727904,4262,272
3840,0,77,0,2724992,4257,272
3840,0,78,0,2724994,4257,272
3840,0,76,0,2740222,4281,274
3840,0,77,0,2729150,4264,272
3840,0,77,0,2727941,4262,272
3840,0,77,0,2721871,4252,272
3840,0,77,0,2727658,4261,272
3840,0,78,0,2725735,4258,272
3840,0,77,0,2725986,4259,272
3840,0,77,0,2725937,4259,272
3840,0,77,0,2726572,4260,272
3840,0,78,0,2720688,4251,272
3840,0,76,0,2733395,4270,273
3840,0,77,0,2732795,4269,273
3840,0,77,0,2727045,4261,272
3840,0,77,0,2719382,4249,271
3840,0,77,0,2729681,4265,272
3840,0,78,0,2718732,4248,271
3840,0,77,0,2725129,4258,272
3840,0,77,0,2729336,4264,272
3840,0,76,0,2725763,4259,272
3840,0,76,0,2725563,4258,272
3840,0,78,0,2715186,4242,271
3840,0,79,0,2717457,4246,271
3840,0,82,0,2724339,4256,272
3840,0,77,0,2727159,4261,272
3840,0,77,0,2726310,4259,272
3840,0,78,0,2720494,4250,272
3840,0,77,0,2725340,4258,272
3840,0,77,0,2735796,4274,273
3840,0,78,0,2720433,4250,272
3840,0,76,0,2734176,4272,273
3840,0,77,0,2728178,4262,272
3840,0,77,0,2724650,4257,272
3840,0,77,0,2726552,4260,272
3840,0,78,0,2723964,4256,272
3840,0,77,0,2723427,4255,272
3840,0,77,0,2732684,4269,273
3840,0,77,0,2727280,4261,272
3840,0,78,0,2721522,4252,272
3840,0,77,0,2727641,4261,272
3840,0,78,0,2724389,4256,272
3840,0,77,0,2725906,4259,272
3840,0,77,0,2727057,4261,272
3840,0,77,0,2724580,4257,272
3840,0,77,0,2726529,4260,272
3840,0,77,0,2728340,4263,272
3840,0,77,0,2721738,4252,272
3840,0,77,0,2727464,4261,272
3840,0,77,0,2721377,4252,272
3840,0,78,0,2719709,4249,271
3840,0,77,0,2724450,4256,272
3840,0,78,0,2735099,4273,273
3840,0,77,0,2726189,4259,272
3840,0,78,0,2721784,4252,272
3840,0,77,0,2724810,4257,272
3840,0,78,0,2724339,4256,272
3840,0,76,0,2742909,4285,274
3840,0,78,0,2722636,4254,272
3840,0,78,0,2718878,4248,271
3840,0,78,0,2725024,4257,272
3840,0,77,0,2722356,4253,272
3840,0,77,0,2739748,4280,273
